Compound,Compound ID,Adducts,Formula,Score,Mass Error (ppm),Isotope Similarity,Theoretical Isotope Distribution,Description,m/z,Charge,Retention time (min),Anova (p),q Value,Max Fold Change,,Endogenous and blood,
0.91_136.0750m/z,HMDB0000754,M+NH4,C5H10O3,25.4,-184.9529548,96.61760189,100 - 5.64 - 0.746,3-Hydroxyisovaleric acid,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0000940,M+NH4,C4H6O4,27.1,123.2722795,95.48502081,100 - 4.55 - 0.902,Threonolactone,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0001250,M+H,C8H9NO,38.6,-5.232424227,98.95401828,100 - 9.16 - 0.578,N-Acetylarylamine,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0001301,M+Na,C5H7NO2,23.3,336.8884868,97.05331154,100 - 5.93 - 0.557,1-Pyrroline-5-carboxylic acid,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0001476,M+H-H2O,C7H7NO3,24.9,233.1296867,98.75472516,100 - 8.13 - 0.905,3-Hydroxyanthranilic acid,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0001863,M+NH4,C5H10O3,25.4,-184.9529548,96.61760189,100 - 5.64 - 0.746,2-Hydroxyvaleric acid,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0001972,M+H-H2O,C7H7NO3,24.9,233.1296867,98.75472516,100 - 8.13 - 0.905,3-Aminosalicylic acid,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0001987,M+NH4,C5H10O3,25.4,-184.9529548,96.61760189,100 - 5.64 - 0.746,2-Hydroxy-2-methylbutyric acid,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0002011,M+NH4,C5H10O3,25.4,-184.9529548,96.61760189,100 - 5.64 - 0.746,4-Hydroxyisovaleric acid,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0002108,M+H,C4H9NO2S,23.6,239.2531537,92.77778436,100 - 5.67 - 5.06 - 0.245,Methylcysteine,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0002362,M+NH4,C4H10N2O2,23.8,-280.0737329,96.45779551,100 - 5.25 - 0.524,"2,4-Diaminobutyric acid",136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0004816,M+H-H2O,C5H7N5O,29.4,86.31618287,98.45978819,100 - 7.35 - 0.443,FAPy-adenine,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0004825,M+H-H2O,C8H11NO2,38.7,-4.616812496,98.70917199,100 - 9.22 - 0.789,p-Octopamine,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0006284,M+NH4,C4H10N2O2,23.8,-280.0737329,96.45779551,100 - 5.25 - 0.524,"L-2,4-diaminobutyric acid",136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0006875,M+Na,C5H7NO2,23.3,336.8884868,97.05331154,100 - 5.93 - 0.557,1-Pyrroline-2-carboxylic acid,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0010715,M+H,C8H9NO,38.6,-5.232424227,98.95401828,100 - 9.16 - 0.578,2-Phenylacetamide,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0012128,M+H,C9H13N,24.2,-274.5442362,98.0747107,100 - 10.2 - 0.472,(R)-Amphetamine,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0012309,M+H-H2O,C8H11NO2,38.7,-4.616812496,98.70917199,100 - 9.22 - 0.789,Vanillylamine,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
0.91_136.0750m/z,HMDB0013253,M+H-H2O,C7H11N3O,30.1,-77.99405871,99.27326362,100 - 8.83 - 0.553,N-Acetylhistamine,136.0749836,1,0.912516667,0.023380384,0.033233484,1.294096125,,,
